state,zipcode,hash_codes,closed_won_percentage
FL,38401,0061K00000h9Bgm,0.0
WA,45219,0061K00000h93ft,0.0
NJ,32714,0061K00000h7yvD,0.0
LA,80112,0061K00000h7yuK,0.0
UT,29646,0061K00000h6yfD,0.0
OR,32256,0061K00000fvP5f,0.0
OH,98405,"0061K00000ftCbz, 0061K00000jTF5J, 0061K00000kou4n",0.0
TN,7960,0061K00000fNEfL,0.0
GA,70806,0061K00000fL98L,0.0
CA,84132,0061K00000c4njV,0.0
NY,32256,0061K00000lSTui,0.0
CA,98405,"0061K00000lSauT, 0061K00000iqIVh, 0061K00000k1ctr",0.0
GA,97504,0061K00000lS1S0,0.0
PA,38104,"0061K00000lRyC4, 0061K00000kouCK",0.0
CA,30066,"0061K00000lRY1U, 0061K00000ipj4i",0.0
CA,14203,"0061K00000lRWHg, 0061K00000h8oMm, 0061K00000htxKv",0.0
AR,94598,0061K00000lRW2L,0.0
MO,30117,"0061K00000lRVJl, 0061K00000kouCK",0.0
TN,10065,0061K00000lRSQ1,0.0
MA,94602,0061K00000lRKfD,0.0
TX,72601,0061K00000lRJ2c,0.0
MS,64506,0061K00000lRIBo,0.0
KY,38105,0061K00000lRFy8,0.0
MN,48202,0061K00000lRDxS,0.0
NY,85712,0061K00000lRcxO,0.0
HI,33309,0061K00000lRcwu,0.0
SC,1201,0061K00000lR9dm,0.0
TN,76011,0061K00000lR4ZU,0.0
VT,40223,0061K00000lR0jz,0.0
MS,55415,0061K00000lQy8P,0.0
NY,14642,0061K00000lQnMr,0.0
MO,96813,0061K00000lQkOe,0.0
TX,29303,0061K00000lQfz0,100.0
TX,37920,"0061K00000lQeMa, 0061K00000lQkOe",0.0
AZ,6106,0061K00000lQE9R,0.0
UT,65301,0061K00000ksMo0,0.0
OH,79601,0061K00000ksMnz,0.0
CO,85008,0061K00000ksLmF,0.0
CO,62781,0061K00000ksGKu,0.0
NY,83712,0061K00000ks6KG,0.0
MA,84111,0061K00000ks4PF,0.0
PA,45237,0061K00000ks2qa,0.0
FL,91405,0061K00000ks1xJ,0.0
NJ,81505,0061K00000krZvn,0.0
DE,11201,0061K00000krO84,0.0
KY,2740,0061K00000kreSu,0.0
TX,19406,0061K00000krcQr,0.0
MN,32806,0061K00000krbqx,0.0
NY,7103,0061K00000kqP3K,0.0
TN,33136,0061K00000kqIEW,0.0
FL,40536,0061K00000kqCG8,0.0
VA,55805,0061K00000kq99K,0.0
CA,10017,0061K00000kpQ0R,0.0
NJ,38104,0061K00000kpO05,100.0
NH,35801,0061K00000kpEqk,0.0
MS,32610,0061K00000kOxor,0.0
FL,29169,0061K00000kouCK,0.0
NC,22903,0061K00000kou4n,0.0
WA,92324,0061K00000k3Pzt,0.0
AZ,7030,0061K00000k3kdI,0.0
WA,39216,0061K00000k2UcZ,0.0
OH,33759,0061K00000k2oTq,0.0
WI,28203,0061K00000k1XAe,0.0
OR,98405,0061K00000k1EDy,0.0
IL,85016,0061K00000k1ctr,0.0
TN,63141,"0061K00000k1CB5, 0061K00000jV3Ou, 0061K00000hxpAG",0.0
WA,97467,0061K00000jVZNI,0.0
UT,61801,"0061K00000jVwnv, 0061K00000ks4PF",0.0
WA,38401,0061K00000jVwgu,0.0
PA,32714,0061K00000jUjM6,0.0
OR,80112,0061K00000jUhha,0.0
TN,84132,0061K00000jTEIe,0.0
CA,45219,"0061K00000ioytq, 0061K00000k1CB5, 0061K00000jUoHF",0.0
MN,19087,0061K00000hwYz2,0.0
NY,97504,0061K00000hwXnA,0.0
OH,45429,0061K00000hvMZ1,0.0
GA,93306,0061K00000h9QBQ,0.0
NY,91786,"0061K00000h9Bgm, 0061K00000jVwnv",0.0
PA,55407,"0061K00000h93ft, 0061K00000imc4t",0.0
PA,45750,0061K00000h7yvD,0.0
CA,30117,"0061K00000h7yuN, 0061K00000h7yvD",0.0
AR,31701,0061K00000h7yuK,0.0
MO,10065,0061K00000h6yfD,0.0
TN,19406,0061K00000h6jwx,0.0
MI,92868,0061K00000h60vE,0.0
AZ,19104,0061K00000gUdpW,0.0
FL,94602,0061K00000fvP5f,0.0
MA,72601,0061K00000ftCbz,0.0
MI,38105,0061K00000lRXzn,0.0
MS,48202,0061K00000lRWHg,0.0
KY,85712,0061K00000lRW2L,100.0
MN,33309,0061K00000lRVJl,0.0
NY,1201,0061K00000lRRcz,0.0
HI,76011,0061K00000lRnT0,0.0
TX,48503,0061K00000lRmJS,0.0
KY,38801,0061K00000lRKfD,0.0
SC,40223,0061K00000lRJ2c,0.0
TN,55415,0061K00000lRIBo,0.0
CT,14642,"0061K00000lR9dm, 0061K00000ftCbz",0.0
VT,96813,"0061K00000lR0jz, 0061K00000eHxr4",0.0
MS,76104,"0061K00000lQnMr, 0061K00000eHxr4",0.0
MO,29303,0061K00000lQmFq,0.0
AZ,5701,0061K00000lQeMa,0.0
PA,39216,"0061K00000lQE9R, 0061K00000lQnMr",0.0
IL,10017,"0061K00000lQDjm, 0061K00000kOxjL",0.0
ID,65301,0061K00000kZCTo,0.0
UT,79601,0061K00000kZ6UU,0.0
OH,75203,0061K00000kwvSE,0.0
CA,85008,0061K00000ksUL4,0.0
CO,17822,0061K00000ksMnz,0.0
SD,91405,0061K00000ksGKu,0.0
PA,81505,0061K00000ks6KG,0.0
NJ,90027,0061K00000ks4PF,0.0
FL,11201,0061K00000ks2qa,0.0
DE,2740,0061K00000ks1xJ,0.0
GA,57105,0061K00000krZvn,0.0
NJ,19406,0061K00000krTI9,0.0
NJ,7103,0061K00000krO84,0.0
TX,33136,0061K00000kreSu,0.0
NY,30342,0061K00000krbqx,0.0
AL,8053,0061K00000kqkDj,0.0
CA,55805,0061K00000kqck4,0.0
NJ,10017,0061K00000kqCG8,0.0
NH,38104,"0061K00000kqaAJ, 0061K00000jWa9Q",0.0
FL,35801,0061K00000kq99K,0.0
FL,32610,0061K00000kpsdT,0.0
GA,92324,0061K00000kproa,0.0
